arte-chatbot-backend  | INFO:     Started server process [1]
arte-chatbot-backend  | INFO:     Waiting for application startup.
arte-chatbot-backend  | INFO:     Application startup complete.
arte-chatbot-backend  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
arte-chatbot-backend  | INFO:     127.0.0.1:45482 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:49850 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:43540 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:56436 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:35332 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     172.18.0.1:36332 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | OpenAI API error: Error code: 400 - {'error': {'message': "Missing required parameter: 'tools[1].name'.", 'type': 'invalid_request_error', 'param': 'tools[1].name', 'code': 'missing_required_parameter'}}
arte-chatbot-backend  | LLM service error: OpenAI API error: Error code: 400 - {'error': {'message': "Missing required parameter: 'tools[1].name'.", 'type': 'invalid_request_error', 'param': 'tools[1].name', 'code': 'missing_required_parameter'}}
arte-chatbot-backend  | INFO:     172.18.0.1:37460 - "POST /chat HTTP/1.1" 503 Service Unavailable
arte-chatbot-backend  | INFO:     127.0.0.1:47018 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:35296 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:35856 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:34548 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:38228 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:50646 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:46058 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:52142 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:60678 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:48812 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:48472 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:54124 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:47660 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:42710 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:55850 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:34502 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:45304 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:45464 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:59356 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:51180 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:43394 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:50600 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:37714 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:51752 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:52248 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:35332 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:40276 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:59994 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:48084 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:37988 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:55814 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:59904 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:32858 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     172.18.0.1:49996 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:45198 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:51152 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:53744 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:37398 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:36750 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:43268 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:59602 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:36886 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:34176 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:55050 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:38810 - "GET /health HTTP/1.1" 200 OK
